t_i,t_f,Theta_0,Theta_1 
0,1650824682,337,67
1650824693,1650824735,157,225
1650824746,1650824765,337,67
1650824778,1650824807,157,225
1650824823,1650824847,337,67
1650824863,1650824887,157,225
