t_i,t_f,Theta_0,Theta_1 
0,1650827585,202,315
1650827596,1650827627,45,157
1650827637,1650827659,202,315
1650827668,1650827696,45,157
1650827708,1650827727,202,315
1650827736,1650827764,45,157
