t_i,t_f,Theta_0,Theta_1 
0,1650826785,202,315
1650826795,1650826839,45,157
1650826851,1650826877,202,315
1650826887,1650826921,45,157
1650826931,1650826956,202,315
1650826966,1650826999,45,157
