t_i,t_f,Theta_0,Theta_1
0,1545615433,202,292
1545615436,1545615468,180,270
1545615478,1545615500,180,292
1545615516,1545615537,180,270
1545615552,1545615573,202,315
1545615587,15456155591,180,292
