t_i,t_f,Theta_0,Theta_1 
0,1667747523,315,45
1667747533,1667747543,315,45
1667747557,1667747591,315,45
1667747599,1667747649,315,45
1667747656,1667747679,315,45
1667747683,1667747696,315,45
1667747700,1667747701,45,157
1667747708,1667747736,315,45
