t_i,t_f,Theta_0,Theta_1,,
0,1545609906,45,157,,
1545609920,1545609946,315,45,,
1545609953,1545609957,225,337,,
1545609967,1545609990,157,247,,
1545610002,1545610030,315,45,, 
1545610040,1545610044,202,292,,
1545610065,1545610107,157,247,,
1545610122,1545610141,315,45,,
1545610154,1545610178,157,247,,
