t_i,t_f,Theta_0,Theta_1 
0,1650825185,292,22
1650825189,1650825190,225,315
1650825197,1650825212,292,45
1650825224,1650825238,157,247
1650825250,1650825266,292,45
1650825278,1650825281,202,292
1650825288,1650825302,180,247
1650825314,1650825334,315,45
1650825340,1650825341,22,157
