t_i,t_f,Theta_0,Theta_1
0,1650824167,337,67
1650824177,1650824200,225,337
1650824212,1650824235,45,157
1650824244,1650824265,225,315
1650824280,1650824295,45,157
1650824307,1650824332,225,315
1650824338,1650824349,157,247
