t_i,t_f,Theta_0,Theta_1
0,1650828148,157,247
1650828161,1650828181,315,67
1650828191,1650828210,157,247
1650828219,1650828241,315,67
1650828252,1650828272,157,247
1650828279,1650828304,315,67
